ProblemSize,AvgTime(ns)
1024,50.75
2048,1.04
4096,1.54
8192,1.63
16384,0.25
32768,0.17
65536,0.17
131072,2.38
262144,2.79
524288,3.21
1048576,0.79
2097152,1.42
4194304,0.83
8388608,0.25
