ProblemSize,AvgTime(ns)
1024,47.00
2048,9.33
4096,14.08
8192,5.83
16384,8.46
32768,7.96
65536,9.38
131072,5.38
262144,7.83
524288,9.46
1048576,6.54
2097152,8.42
4194304,4.96
8388608,9.83
