ProblemSize,AvgTime(ns)
1024,256.46
2048,4.13
4096,2.75
8192,5.25
16384,2.92
32768,2.58
65536,5.58
131072,4.13
262144,2.67
524288,5.83
1048576,7.79
2097152,2.33
4194304,4.08
8388608,8.25
