,BR,HW,L4,LN,NP,O2,T3
,MC,MC,MC,MC,MC,MC,MC
Date,UG/M3,UG/M3,UG/M3,UG/M3,UG/M3,UG/M3,UG/M3
1/4/2009 16:00,,15.9,8.5,8.7,11.5,6.7,10.4
1/4/2009 17:00,,11.6,7.8,9.6,14.7,5.8,10.6
1/4/2009 18:00,,9.3,9.6,13,12.2,7.9,19
1/4/2009 19:00,,16.4,21.4,24.4,17.3,10,19.5
1/4/2009 20:00,,17.1,20.8,31.1,20,13.6,16.6
1/4/2009 21:00,,14.8,23.8,32,24.3,15.3,12.9
1/4/2009 22:00,,16.7,25.3,24,21.9,17.7,11.1
1/4/2009 23:00,,16.3,22.1,22.6,26,16.3,13.8
1/5/2009 0:00,,18.5,18.1,18,25.8,14.2,12.5
1/5/2009 1:00,,-0.7,17.9,19,28.5,12.9,10.1
1/5/2009 2:00,,21.3,20.8,22.4,25,8.9,9.8
1/5/2009 3:00,,17.9,17.1,24.3,20,14.5,7.8
1/5/2009 4:00,,18,18.2,23.5,12.8,11.8,5.4
1/5/2009 5:00,,23.6,17.3,22.8,9.3,13,6.4
1/5/2009 6:00,,16.9,19.1,20.1,11.9,15.4,12
1/5/2009 7:00,,10,18.4,15.3,12.6,26.1,9.8
1/5/2009 8:00,,7.2,20.2,7.8,9.2,9.1,9
1/5/2009 9:00,,12.4,17.1,23.9,9.9,9,9.9
1/5/2009 10:00,,13.5,21.6,25.1,11.3,10.8,11
1/5/2009 11:00,,5.1,21,20.7,8.8,11.3,11.2
1/5/2009 12:00,,10.8,19.2,19.7,12.3,13.8,13.9
1/5/2009 13:00,,13,20.2,9.7,10,15.9,11
1/5/2009 14:00,,14.4,20.9,4.8,17.4,19.8,11.2
1/5/2009 15:00,,14.1,20.8,16.8,15.7,14.9,9.1
1/5/2009 16:00,,22.6,26.6,19.8,11.7,12,13.8
1/5/2009 17:00,,16.9,26.3,23,11.6,16.9,14.9
1/5/2009 18:00,,21,25.4,17.7,13.3,17.1,15.8
1/5/2009 19:00,,20.6,27.8,19.1,14.8,18.2,18.5
1/5/2009 20:00,,22.8,27.4,17.4,19.5,21.2,17.8
1/5/2009 21:00,,16.9,27.4,18.7,24.4,23.8,21
1/5/2009 22:00,,24,29.7,17.1,22.6,24.1,19.8
1/5/2009 23:00,,20.3,32.7,20.4,22.5,24.1,16.3
1/6/2009 0:00,,23.6,35.3,24.3,22.4,30.2,21.2
1/6/2009 1:00,,19.1,29.5,24.4,25.2,30,22.5
1/6/2009 2:00,,25.8,29.3,31.3,25.9,28.5,18.8
1/6/2009 3:00,,32.2,28.9,23.1,26.3,31.6,16.7
1/6/2009 4:00,,23.6,34.5,20.5,26.3,27.8,8.2
1/6/2009 5:00,,29.3,34.5,20.6,26.5,28.3,6.5
1/6/2009 6:00,,20.1,32.1,21.7,26.2,34.6,6.1
1/6/2009 7:00,,31.8,33.2,25.2,25.3,36.5,7.8
1/6/2009 8:00,,24.5,31.9,26.5,23.8,39.3,14.1
1/6/2009 9:00,,21.8,31.9,35.1,31.1,45.8,16.3
1/6/2009 10:00,,30.2,,40.8,33.9,54.3,17.5
1/6/2009 11:00,,22.7,38.6,34.4,30.1,56.9,9.8
1/6/2009 12:00,,15.9,40.5,15.7,34,52.6,12.1
1/6/2009 13:00,,17.4,35.8,23.6,35.4,54.9,9.6
1/6/2009 14:00,,15.7,36.7,27.9,38.1,58.3,8.8
1/6/2009 15:00,,20,39.6,18.5,28.9,37.2,7.7
1/6/2009 16:00,,19.7,37.3,7.2,10.4,17.8,7.6
1/6/2009 17:00,,10,37.2,4.8,6.6,9.7,8.4
1/6/2009 18:00,,12.1,39.9,5.1,4.1,11.3,9.5
1/6/2009 19:00,,7.2,32.9,4,6.5,13.3,14.6
1/6/2009 20:00,,2.9,29.4,2.7,7.3,17.5,16.3
1/6/2009 21:00,,10.1,16.2,3.4,5.7,18.5,13.3
1/6/2009 22:00,,14.3,4,2.2,3.4,11.9,8.1
1/6/2009 23:00,,16.4,15.7,4,3.9,14.4,5.4
1/7/2009 0:00,,8.5,20.1,4,5,18,5.7
1/7/2009 1:00,,3.3,19.5,2.5,8.6,18.2,5
1/7/2009 2:00,,6.8,11.7,17.9,13.4,21.2,5.9
1/7/2009 3:00,,10,10.8,8.6,16.5,18.8,7.8
1/7/2009 4:00,,15.3,10.3,10.5,17.9,17.1,8.9
1/7/2009 5:00,,14.5,9.3,4.9,12.7,19.1,6.6
1/7/2009 6:00,,9,11.5,1.4,16.5,17.5,5.5
1/7/2009 7:00,,9.9,5.1,15.7,18.2,15.8,7.5
1/7/2009 8:00,,19.4,8.5,21.4,28.3,14.1,10.5
1/7/2009 9:00,,11.7,3.5,21.7,27.1,25.3,6.9
1/7/2009 10:00,,15.9,4.5,32.4,38.1,27.5,11
1/7/2009 11:00,,11.2,9.7,41,31.4,28.6,9.8
1/7/2009 12:00,,28.1,9.7,62.4,27.1,24.8,8
1/7/2009 13:00,,9.7,10.8,51.5,27.5,17.2,8.3
1/7/2009 14:00,,6.8,16.4,48.8,37.3,12.4,10.8
1/7/2009 15:00,,11.8,6.1,48.2,36,8.3,7.9
1/7/2009 16:00,,13.2,10.5,52.5,35.9,13.3,9.2
1/7/2009 17:00,,21.9,13.2,45,34.3,15.6,15.3
1/7/2009 18:00,,14.6,23.7,47.4,35.5,23.3,14.5
1/7/2009 19:00,,17.7,25,49.5,35.7,28.7,10.6
1/7/2009 20:00,,22.9,25.5,51.7,37.6,27.9,8.1
1/7/2009 21:00,,28.8,19.2,48.8,41.1,25.7,7.6
1/7/2009 22:00,,29.2,20.9,39.3,42.9,22.3,10.7
1/7/2009 23:00,,19.1,21.6,51,45.2,20.1,7.2
1/8/2009 0:00,,25.4,24.5,47.2,45.3,19.2,6.8
1/8/2009 1:00,,18.6,22.8,48.2,42.5,15.5,5.1
1/8/2009 2:00,,16.1,24.5,46.9,41.9,14.1,6
1/8/2009 3:00,,17,23.8,33.5,40.7,13.9,6.9
1/8/2009 4:00,,13.6,25.6,28.4,35.8,9.3,6.1
1/8/2009 5:00,,15.2,23.2,22.9,32.1,8.8,6
1/8/2009 6:00,,14.4,24.4,15,27,8,9.7
1/8/2009 7:00,,15.6,21,14.5,27.8,16.4,9.4
1/8/2009 8:00,,15.6,26.4,12.1,38.7,19.7,11.8
1/8/2009 9:00,,17.7,21.1,16.8,33,13.6,11.1
1/8/2009 10:00,,15.3,20.3,33.5,36.9,9.4,8
1/8/2009 11:00,,4.1,16.5,65.3,48.2,13.1,8.9
1/8/2009 12:00,,14.9,21.8,67.3,41.7,15.6,9.7
1/8/2009 13:00,,18.4,26.8,52.4,49.3,15.8,6.2
1/8/2009 14:00,,21.2,10.6,72.5,39.6,13.7,5.4
1/8/2009 15:00,,12.1,7.7,73.4,43.5,16.7,9.2
1/8/2009 16:00,,11.4,12.3,68.9,43.7,17.4,5.4
1/8/2009 17:00,,13.3,12.2,57.6,40.7,14.9,6.2
1/8/2009 18:00,,16.4,10.4,42.4,37.8,13.3,7.6
1/8/2009 19:00,,16.8,4.7,37,44.8,12,10.9
1/8/2009 20:00,,12,8.2,17.6,40.9,8.6,11.6
1/8/2009 21:00,,0.2,4.8,2.3,15.1,5.5,7.7
1/8/2009 22:00,,4,3.1,-0.1,6.5,4.2,6.2
1/8/2009 23:00,,4.8,7.7,-0.7,2.2,4.3,4.6
1/9/2009 0:00,,5.5,7.8,2.4,4.6,5.4,6.8
1/9/2009 1:00,,7,3.1,5,5.3,7.6,6
1/9/2009 2:00,,4,3,1,4.7,5.7,5.8
1/9/2009 3:00,,2,4,2.4,5.3,3.7,6.1
1/9/2009 4:00,,-0.4,5,6.4,7.2,4.9,6.3
1/9/2009 5:00,,3,3.8,3.7,5.9,5.5,5.8
1/9/2009 6:00,,-1.4,3,2.7,4.9,5.7,7
1/9/2009 7:00,,-1,6.4,-0.9,3.7,2.5,7.9
1/9/2009 8:00,,0.3,9.8,4.4,5.8,7.7,7.4
1/9/2009 9:00,,2.5,7.6,1.8,7.5,9,5.6
1/9/2009 10:00,,4.7,5.8,5.4,5.6,9.2,7.8
1/9/2009 11:00,,3.2,6.9,5.6,8.7,8.9,11
1/9/2009 12:00,,2.3,9,5.9,9.9,5.9,11.1
1/9/2009 13:00,,2.6,29.5,-0.3,12.5,7.1,7.6
1/9/2009 14:00,,4.7,17.7,2.2,7.9,9.4,6.9
1/9/2009 15:00,,2.3,7.6,8,10.7,9.6,8.9
1/9/2009 16:00,,1.4,8.8,8.6,9,8.3,6.7
1/9/2009 17:00,,5.9,10.9,7.6,7.5,10.1,9.3
1/9/2009 18:00,,-0.1,12.4,4.8,7.8,12.5,14.8
1/9/2009 19:00,,10.6,13.5,8.7,9,12.5,16.6
1/9/2009 20:00,,13.3,16,5.8,10.1,14.6,20.7
1/9/2009 21:00,,18.1,13.8,6.9,10.9,21,11
1/9/2009 22:00,,17.2,11.6,14.2,12.1,21.1,6.5
1/9/2009 23:00,,16.3,10.2,14.4,15.1,20.1,9.2
1/10/2009 0:00,,15,9.9,13.3,17.4,18.6,13.4
1/10/2009 1:00,,15.7,9.1,19.5,19.7,15,12.3
1/10/2009 2:00,,15.3,8.8,14.7,16.5,13,8.6
1/10/2009 3:00,,13.5,8.1,22.1,17.4,15.5,9.9
1/10/2009 4:00,,10.8,9,18.7,17.5,15.2,10.8
1/10/2009 5:00,,10,9.1,14,16.8,15.9,7.6
1/10/2009 6:00,,9.5,9.1,20.3,21,16,6.9
1/10/2009 7:00,,11.8,14.2,18.7,16.4,19,9
1/10/2009 8:00,,7.8,18.1,14.8,16.6,14.5,12.5
1/10/2009 9:00,,26,17.9,21.3,23.1,16.5,8.9
1/10/2009 10:00,,26.3,18.5,28,24,26,5
1/10/2009 11:00,,20.1,18.4,28.2,18.1,27.1,8.3
1/10/2009 12:00,,15.7,20.8,23.5,22.1,26,8.6
1/10/2009 13:00,,15.3,17.7,26.2,20.7,22.3,5.9
1/10/2009 14:00,,14.2,18.6,24.7,19.9,18.3,5.5
1/10/2009 15:00,,17.1,21.6,20.2,21,23,8.2
1/10/2009 16:00,,9.7,23.2,28,21,26.9,9.4
1/10/2009 17:00,,9.5,25.1,19,21.6,28.4,11.1
1/10/2009 18:00,,8.8,28.4,15.8,23,32.5,11.3
1/10/2009 19:00,,18.1,29.6,32.5,27.2,37.8,17.2
1/10/2009 20:00,,19.6,30.7,32.5,30.9,41.6,18.2
1/10/2009 21:00,,22,33.1,35.1,39.7,36.9,15.9
1/10/2009 22:00,,26,37.1,39.6,37.4,29.2,10.6
1/10/2009 23:00,,29.7,39.5,44.1,39.3,25,15.4
1/11/2009 0:00,,23.8,34,39.7,34,23.7,13.7
1/11/2009 1:00,,19.7,27.9,34.6,31.1,21.8,9.5
1/11/2009 2:00,,16.8,28.3,27.5,31.3,19.3,7.7
1/11/2009 3:00,,18.2,26.7,30.7,32.3,19.5,8.1
1/11/2009 4:00,,16.3,25.7,31.2,32.5,20.5,8.3
1/11/2009 5:00,,17.7,27.2,33.8,35.6,17.8,8.7
1/11/2009 6:00,,19.6,28.8,28.3,32.4,13.8,8
1/11/2009 7:00,,16.6,30.6,31.7,26.3,14.2,6.9
1/11/2009 8:00,,13.8,32.5,28.8,22.6,14.8,8.8
1/11/2009 9:00,,3.3,26.9,26.5,21.3,12.2,9.5
1/11/2009 10:00,,0,29.3,26.4,23.6,14.8,5.7
