,BR,HW,L4,LN,NP,O2,T3
,MC,MC,MC,MC,MC,MC,MC
Date,UG/M3,UG/M3,UG/M3,UG/M3,UG/M3,UG/M3,UG/M3
3/16/2009 10:00,,12.5,9.2,8,6.9,9,10
3/16/2009 11:00,,8.6,4.5,7,8.9,7.8,8.6
3/16/2009 12:00,,5.7,1.3,6.8,8.4,8.6,8.3
3/16/2009 13:00,,2.7,5,8.2,6.7,10.8,7.7
3/16/2009 14:00,,5.5,3.9,6.1,6.9,5.8,8.3
3/16/2009 15:00,,8.4,6.3,10,10.7,5.9,7.8
3/16/2009 16:00,,6.3,9.1,15.6,19.9,5.5,9.4
3/16/2009 17:00,,6.7,10.4,11.4,14.7,5.7,8.3
3/16/2009 18:00,,10.1,7.6,10.3,13.4,7.6,7.6
3/16/2009 19:00,,9.7,7.8,10.4,11.7,7.8,7.4
3/16/2009 20:00,,8.9,10.2,8.3,13.8,7.6,6.2
3/16/2009 21:00,,10.8,10.2,10.3,13,10.1,7.3
3/16/2009 22:00,,7.2,8.3,11.1,13.2,13.7,10.1
3/16/2009 23:00,,7.1,9.1,15.8,10.6,8.2,9.7
3/17/2009 0:00,,2.2,10.8,12.9,6.6,10.5,7.8
3/17/2009 1:00,,12.5,12,6.8,6.8,8.2,7.2
3/17/2009 2:00,,4.1,13.9,8,6.6,5.9,6.8
3/17/2009 3:00,,0,13.7,6.7,8.1,8.9,7.1
3/17/2009 4:00,,7.3,18.3,6.5,10.7,12.7,8.2
3/17/2009 5:00,,6.4,21,8.4,9,10.6,9
3/17/2009 6:00,,10,14.8,6.3,11.2,15.1,10
3/17/2009 7:00,,12.6,13.6,6.7,11.6,17.6,9.6
3/17/2009 8:00,,23.8,14.4,8.5,15.5,20.4,10.9
3/17/2009 9:00,,32.1,14,7.2,10,15.3,17
3/17/2009 10:00,,27.5,16.3,14,9.8,13.6,23
3/17/2009 11:00,,25,16.7,13.1,8.4,12.1,15.8
3/17/2009 12:00,,25.1,11.6,6.9,6.2,13,14.9
3/17/2009 13:00,,16.8,9.5,4,9.2,13.7,16.5
3/17/2009 14:00,,24.2,11.3,11.4,8.9,13.5,15.4
3/17/2009 15:00,,16.2,10.4,10.4,7.5,15.2,15.3
3/17/2009 16:00,,9.2,14.2,11.7,9.9,11.8,14.3
3/17/2009 17:00,,10.3,11.3,5.9,14.6,13.4,15.1
3/17/2009 18:00,,7.3,10.2,-2.9,12.4,11.3,16.5
3/17/2009 19:00,,8.8,9.7,17.2,13.3,14.5,16.7
3/17/2009 20:00,,7.9,10.2,16,14.6,16.2,15.2
3/17/2009 21:00,,8.9,11.4,5,13.9,16.1,12.3
3/17/2009 22:00,,12.3,11.7,3.7,11.6,16,12
3/17/2009 23:00,,4.3,11,7.4,14.9,11.6,10.3
3/18/2009 0:00,,6.4,11,6.1,14.2,9.4,13.7
3/18/2009 1:00,,2.9,10.6,11.3,12.2,9,12.1
3/18/2009 2:00,,5.7,11,11,10.1,9.9,11.8
3/18/2009 3:00,,9.3,10.5,8.3,10.7,9.7,9.8
3/18/2009 4:00,,6.9,10.5,9.3,11,11.1,11
3/18/2009 5:00,,6.6,11.3,10.8,12.7,11,11.9
3/18/2009 6:00,,11.6,13,12,13.4,13.5,13.7
3/18/2009 7:00,,17.8,12.7,12.4,14,15.4,16.1
3/18/2009 8:00,,10.7,16.8,16.2,14.1,18.4,11.5
3/18/2009 9:00,,5.6,18.8,15.7,11.6,17.1,12.9
3/18/2009 10:00,,10.3,14.4,10.5,14.3,11.7,11.3
3/18/2009 11:00,,15.9,15.4,19.1,15.3,12.8,14.6
3/18/2009 12:00,,14,11.9,25.4,17.3,13.7,12.4
3/18/2009 13:00,,12.6,11.6,19.7,12.6,15.7,11.5
3/18/2009 14:00,,16.2,11.4,10.9,14.2,16.5,14.2
3/18/2009 15:00,,15.7,15.8,20.3,12.7,17.2,13.6
3/18/2009 16:00,,11.7,9.1,11.2,11.7,11.6,15.6
3/18/2009 17:00,,7.3,16.8,9.5,11.8,11,13.4
3/18/2009 18:00,,10.8,10.9,-4.4,11.2,12.6,14.4
3/18/2009 19:00,,9,14.3,4.5,13.5,13.6,15.6
3/18/2009 20:00,,11.2,13.5,12.6,13.2,15.8,13.9
3/18/2009 21:00,,6.7,11.7,14.7,13.6,15.5,15
3/18/2009 22:00,,14.5,12.8,8.9,12.8,13.9,13
3/18/2009 23:00,,0.6,9.3,12.5,14,11.3,11.4
3/19/2009 0:00,,-1.1,9.1,12.6,15.4,10.7,9.2
3/19/2009 1:00,,0.3,-2.4,9.2,13.6,9.9,9.7
3/19/2009 2:00,,11.5,8.7,9.6,11.2,10.3,10.9
3/19/2009 3:00,,11.1,9.8,8.4,12,11.5,9.4
3/19/2009 4:00,,7.6,5.1,9.4,12.4,10.1,9.3
3/19/2009 5:00,,8.4,11.9,10.6,11,9.9,12.6
3/19/2009 6:00,,12.8,13.4,9.1,14,12.2,14.3
3/19/2009 7:00,,13.8,14.3,11.6,15.1,16.4,14.4
3/19/2009 8:00,,18.3,17.2,14.3,15.6,16.5,16.9
3/19/2009 9:00,,16.2,16.6,15,11.2,13.4,14
3/19/2009 10:00,,17.2,18.4,14.4,10.7,10.6,11.8
3/19/2009 11:00,,13.7,14.2,10.8,11.9,9.9,11.5
3/19/2009 12:00,,,12.8,6,13.4,14.1,14.4
3/19/2009 13:00,,16.2,17.1,12.3,14.9,17.2,18.6
3/19/2009 14:00,,26.2,12.6,7,8.6,16.4,18.6
3/19/2009 15:00,,17.9,10.9,13.5,7.6,18.2,17.2
3/19/2009 16:00,,14.9,18.4,12.6,8.6,17.4,17
3/19/2009 17:00,,15.2,13.8,-5.8,11,17.3,17.5
3/19/2009 18:00,,14.3,12.6,-7.7,7.9,16.2,19.7
3/19/2009 19:00,,11.6,14.8,14.7,11.9,20.1,20.6
3/19/2009 20:00,,16.7,18.1,17.7,10.4,24.2,19.7
3/19/2009 21:00,,12.7,16.1,14.2,19.6,20.6,18
3/19/2009 22:00,,17.5,16.4,9.3,17,22.9,17
3/19/2009 23:00,,12.5,21.3,18.2,13.1,18.9,14
3/20/2009 0:00,,16.2,19.8,11,14.7,19.2,16.7
3/20/2009 1:00,,6.1,20.6,10.7,12.6,15.9,14.7
3/20/2009 2:00,,21.2,19,12.8,14.1,13.6,14.6
3/20/2009 3:00,,18.6,18.3,3.7,14.7,16.1,10.9
3/20/2009 4:00,,12.2,21,9.7,13.8,14.2,12
3/20/2009 5:00,,18.4,15.9,19.6,10.6,14.4,12.1
3/20/2009 6:00,,18.3,13.1,17.7,13.1,16.1,11.4
3/20/2009 7:00,,19.7,16.1,12.1,14.7,17.9,11.6
3/20/2009 8:00,,21.9,20.3,12.6,16.5,20.3,10.8
3/20/2009 9:00,,21.5,18.7,20.6,22.5,19.8,13.5
3/20/2009 10:00,,20,12.5,43.7,18.4,17.4,14.1
3/20/2009 11:00,,21.4,21.9,25.7,18.3,12.3,14.1
3/20/2009 12:00,,19.1,18.3,7.3,12.9,16.5,17.7
3/20/2009 13:00,,25.6,15.9,6.2,8.7,11.1,19.7
3/20/2009 14:00,,28.4,9.4,8.8,6.9,12.9,16.8
3/20/2009 15:00,,21.5,15.4,9.1,7.8,17.3,16.9
3/20/2009 16:00,,11.1,19.1,5.4,4.6,23.2,15.8
3/20/2009 17:00,,9.5,11,6.1,3.9,19.7,17.1
3/20/2009 18:00,,8.2,9,4.8,6.9,18.5,13.5
3/20/2009 19:00,,7.6,15.8,-3,7.6,16.9,14.4
3/20/2009 20:00,,13.1,20.7,7.4,13.5,22.9,16.4
3/20/2009 21:00,,13.7,19.4,20,18.8,21.7,12.1
3/20/2009 22:00,,15.5,14.2,7.9,10.5,22.3,12.7
3/20/2009 23:00,,23.7,4.5,9.9,8.4,21.7,11.6
3/21/2009 0:00,,4.9,17.4,15.9,10.2,18.6,12
3/21/2009 1:00,,15.8,15.3,14.8,16.3,16.4,9.5
3/21/2009 2:00,,10.5,10.8,8.1,14.1,12.2,9.5
3/21/2009 3:00,,-3.2,7.7,12.4,8.6,12.3,8
3/21/2009 4:00,,-0.7,13.2,15.2,11.8,11,7.7
3/21/2009 5:00,,4.5,12.4,13.8,11.2,9.2,7.2
3/21/2009 6:00,,8.5,13.3,12.8,11.9,10.9,8
3/21/2009 7:00,,0.2,13.9,8.5,9.4,11.4,9
3/21/2009 8:00,,6.8,17.1,20.5,7,12,10
3/21/2009 9:00,,7.5,15.6,21.3,11.2,11,10.9
3/21/2009 10:00,,3.2,14.6,17.7,14.4,7.2,10.6
3/21/2009 11:00,,5.9,12.1,15.6,9.6,7.2,11.3
3/21/2009 12:00,,4.6,29.2,3.9,10.8,8,11.6
3/21/2009 13:00,,7.8,6.2,1.5,4.5,10.2,9.5
3/21/2009 14:00,,15.1,4.8,8.7,6,10.4,8.7
3/21/2009 15:00,,4.2,5.6,3.7,5.6,10.3,15.9
3/21/2009 16:00,,3.3,2.8,10.9,4.8,10,14.2
3/21/2009 17:00,,12,11.2,28.8,11.8,18.6,15.1
3/21/2009 18:00,,24.6,11.8,46.2,36.4,22.4,18.4
3/21/2009 19:00,,19.8,15.3,40.5,50.8,17.8,23.6
3/21/2009 20:00,,22.8,22.7,38.9,65.3,26.1,15.8
3/21/2009 21:00,,27.4,10.6,30.3,38.6,28.4,9.2
3/21/2009 22:00,,14.1,10.2,13.6,22.9,19,9.8
3/21/2009 23:00,,8.1,6.6,15.4,14.6,19.2,9.3
3/22/2009 0:00,,8.9,35.6,8.9,13.7,43.8,9.7
3/22/2009 1:00,,13.1,19.8,0.4,11.1,44,20.7
3/22/2009 2:00,,10.1,15,8.9,7.4,40.6,19.4
3/22/2009 3:00,,16.8,10.4,5.2,5.1,13.7,18.4
3/22/2009 4:00,,15.2,4.8,10.5,5.8,4.3,14.6
3/22/2009 5:00,,21.2,6.3,10.6,6.6,4.9,12.2
3/22/2009 6:00,,4.4,7.5,2.1,8.2,7.6,9.9
3/22/2009 7:00,,1.9,6.3,0.8,7,10,9.6
3/22/2009 8:00,,-0.4,2.5,5.6,4.2,9.1,10.1
3/22/2009 9:00,,7.1,8.7,3,5.9,7,8.2
3/22/2009 10:00,,19,12.5,4.7,11.5,5.8,10.5
3/22/2009 11:00,,4.4,22.5,8.3,10.8,8.2,15.2
3/22/2009 12:00,,12.7,16.6,41.1,33.5,8.3,14.9
3/22/2009 13:00,,13.5,13.1,60.6,45.1,19.2,14.5
3/22/2009 14:00,,8.1,5.2,48.1,32.9,25.5,6.6
3/22/2009 15:00,,7.6,11,10.1,18.3,14.6,5.2
3/22/2009 16:00,,5.2,11.7,10.3,12.3,6.6,6.1
3/22/2009 17:00,,-0.4,6.3,8.4,2.8,4.7,6
3/22/2009 18:00,,1.8,6.2,3.1,3.4,4.1,7.1
3/22/2009 19:00,,1.2,3.8,3.7,4.3,4.4,9.2
3/22/2009 20:00,,4.8,0.9,4.5,4.1,5.8,8.2
3/22/2009 21:00,,6.2,5.2,3,4.5,3.9,8.6
3/22/2009 22:00,,4.9,7.3,2.7,2.8,6,9.1
3/22/2009 23:00,,3.8,4,5.5,2.5,5.8,7.6
3/23/2009 0:00,,2.6,5.2,3,4.2,7.3,6.4
3/23/2009 1:00,,3,4.4,2.9,6.2,6.5,7.1
3/23/2009 2:00,,1.8,6.8,3,4.2,8.3,7.2
3/23/2009 3:00,,0.2,5.7,3.9,6.1,5.8,5.2
3/23/2009 4:00,,1.2,5.1,2.8,4.8,4.1,5.7
3/23/2009 5:00,,6.4,3,1.7,4.9,4.5,6.2
3/23/2009 6:00,,3.7,4.9,3.2,5.7,5.8,8.2
3/23/2009 7:00,,4.7,4.9,3.6,3.9,6.6,7.5
3/23/2009 8:00,,-2.1,3.5,2.6,3.8,4.6,7.3
3/23/2009 9:00,,1.3,3.1,3,4,4.4,7.4
3/23/2009 10:00,,4.8,8.1,3.3,3.7,5.6,7
3/23/2009 11:00,,9.1,4.5,2.9,4.4,6.2,7.6
3/23/2009 12:00,,3.5,3,6,5.4,4.8,8.2
3/23/2009 13:00,,3.4,4.8,11.6,7.1,5.9,11.9
3/23/2009 14:00,,3.7,3.3,5.6,4.8,5.3,13.1
3/23/2009 15:00,,3.7,1.2,2.5,5.5,5.1,10.4
3/23/2009 16:00,,3,5.5,1.3,6.1,5.4,9.2
3/23/2009 17:00,,5.7,6,1.2,5,5.8,9.5
3/23/2009 18:00,,7.2,5.8,2.1,5.1,6.5,8.2
3/23/2009 19:00,,3.8,7.4,3.3,4.3,5.7,7.1
3/23/2009 20:00,,3.9,10.4,3.9,3.9,7.2,9
3/23/2009 21:00,,8.2,10,5.2,5.9,8.3,10.5
3/23/2009 22:00,,11.2,9.6,7.8,5.9,7.6,9.8
3/23/2009 23:00,,8.2,10.4,9,8.4,8.5,8.3
3/24/2009 0:00,,7.6,10.1,8.6,9,6.7,5.6
3/24/2009 1:00,,6.9,8.9,10.2,7.1,7,6.1
3/24/2009 2:00,,5.9,8.2,12.4,11,7.7,8.8
3/24/2009 3:00,,12.1,6.9,11.5,12,8,7.6
3/24/2009 4:00,,8.4,7.6,11.1,10.3,8.9,8.1
3/24/2009 5:00,,10,7.2,11.7,10.1,6.7,6.7
3/24/2009 6:00,,10.4,8.6,12.7,12.2,9.8,7.7
3/24/2009 7:00,,8.3,7.9,13.1,12.3,11.1,6.8
3/24/2009 8:00,,9.1,11.6,17,11.8,12.4,6.2
3/24/2009 9:00,,1.9,6,19.3,14.1,8.4,6.3
3/24/2009 10:00,,2.7,-1,11.1,12.7,5.9,3.9
3/24/2009 11:00,,4.1,-3,4.8,8.1,5.1,8.2
3/24/2009 12:00,,-1.7,11.5,-2.2,1.2,3.6,6.4
3/24/2009 13:00,,3.7,5.1,-0.8,2,5.2,5.3
3/24/2009 14:00,,-4.9,3.5,3.5,4.1,4,4.5
3/24/2009 15:00,,4.4,7.6,1.7,4.7,5.3,6.7
3/24/2009 16:00,,-3.8,7,7.3,4.5,5.9,7.6
3/24/2009 17:00,,-0.6,5.2,5.1,3.8,6.5,7.5
3/24/2009 18:00,,6.1,7.7,2.5,4,3.8,7.7
3/24/2009 19:00,,5.4,5.9,2.4,1.8,3.5,7.2
3/24/2009 20:00,,1.9,6,2.1,2.8,4.9,5.5
3/24/2009 21:00,,3.8,2.4,3.9,3.9,5,6
3/24/2009 22:00,,0.4,5,2.9,3.8,4.9,4.1
3/24/2009 23:00,,0.8,5.5,2.4,2,4.5,5.1
3/25/2009 0:00,,-0.7,5.2,3.1,4,4.8,5.8
3/25/2009 1:00,,3.1,4.1,4,7.4,4.9,7.6
3/25/2009 2:00,,4,3.8,4.9,10,5.2,6.9
3/25/2009 3:00,,3.2,6,4.9,4.6,5.3,7.7
3/25/2009 4:00,,5.1,1.2,5.1,4.2,5,6.7
3/25/2009 5:00,,3.3,5.2,4.8,3.8,5.8,7.3
3/25/2009 6:00,,4.1,6.2,5.7,4.8,6.2,7.8
3/25/2009 7:00,,4.4,6.3,2.5,5.6,6.6,6.5
3/25/2009 8:00,,3,4.5,2.5,5.5,8.6,6.4
3/25/2009 9:00,,-0.8,4.3,5.1,5.7,7.9,8.2
3/25/2009 10:00,,0.6,,5.4,5.5,5.6,8.7
3/25/2009 11:00,,7.7,,4.4,5.6,7.5,8.2
3/25/2009 12:00,,,18.4,3.6,5.8,10.2,11
3/25/2009 13:00,,,20,3.9,3.4,12.3,11.1
3/25/2009 14:00,,4.9,18.7,6.9,5.9,12.7,8.7
3/25/2009 15:00,,4.9,19.4,7.5,7.6,13,10.6
3/25/2009 16:00,,10.2,18.2,7.1,9.5,11.6,12.7
3/25/2009 17:00,,6.5,16.7,1.4,5.7,14.2,10.7
3/25/2009 18:00,,6.9,15.8,6.4,4.9,10.4,11.9
3/25/2009 19:00,,6.7,15.6,10.9,9.4,9.9,11.2
3/25/2009 20:00,,6.3,17.2,6.8,8.8,10.7,14.1
3/25/2009 21:00,,8.1,16.1,6.8,7.5,10.3,11.6
3/25/2009 22:00,,12.1,11.5,6.6,5.9,4.6,9.6
3/25/2009 23:00,,13.6,11.8,5.2,5.4,11.2,6.7
3/26/2009 0:00,,1.7,13.7,6.5,0.1,9.2,5.7
3/26/2009 1:00,,2,12.2,1,4.7,9.4,1.8
3/26/2009 2:00,,8.9,13.4,2.4,4.9,7,8.3
3/26/2009 3:00,,2.3,10.6,3.2,6.9,4,5.9
3/26/2009 4:00,,4.4,10.7,3.8,4.4,5.2,6.3
3/26/2009 5:00,,5.3,13.7,1.6,3.6,6.5,6.3
3/26/2009 6:00,,3.6,11.3,2.8,4.1,5.9,7.1
3/26/2009 7:00,,0.8,13.8,4.4,4.3,5.8,7.1
3/26/2009 8:00,,-0.5,16.3,2.6,5.8,6.2,7
3/26/2009 9:00,,0.5,13.7,4.8,4.9,6.6,6.2
3/26/2009 10:00,,3.4,12.6,6.3,5.4,6.9,5.9
3/26/2009 11:00,,5,11.7,5.7,11.8,6.5,8.3
3/26/2009 12:00,,8.3,14.9,2.9,10.1,9.2,8.2
3/26/2009 13:00,,6,14.4,4.7,11.2,4.9,4.9
3/26/2009 14:00,,8.6,14.6,6.3,11.2,3.9,4.2
3/26/2009 15:00,,0.9,13.2,6.6,13.5,5.9,4.1
3/26/2009 16:00,,0.2,19.4,5,9.7,5.8,6
3/26/2009 17:00,,5.4,16.2,1.1,8.4,6.6,8.2
3/26/2009 18:00,,1.3,14.4,3.9,9.9,6.5,8.3
3/26/2009 19:00,,12.7,15.6,1.6,10.9,7.5,9.6
3/26/2009 20:00,,1.8,19.6,-0.7,8,7.1,8.2
3/26/2009 21:00,,5,18.6,0.8,8.2,6.7,9.3
3/26/2009 22:00,,3.5,16.4,5.8,6,5.1,10.1
3/26/2009 23:00,,3.2,11.5,7,6.3,7.5,10.3
3/27/2009 0:00,,1.2,10.4,7.9,7.8,7.5,10.9
3/27/2009 1:00,,0,13,6.6,10.2,6.2,9.1
3/27/2009 2:00,,3.8,12.9,5.2,5.6,7.5,8.5
3/27/2009 3:00,,1.8,10.6,5.1,5.6,8,8
3/27/2009 4:00,,0.6,9.2,4.4,6.9,7.2,8.9
3/27/2009 5:00,,-0.1,10.7,3.6,5,6.7,9.7
3/27/2009 6:00,,3.6,12.8,2.5,7.8,9.7,10.8
3/27/2009 7:00,,5.5,12.2,5,11.3,10.4,10.2
3/27/2009 8:00,,8.9,2.9,7.2,8.3,9.2,10.7
3/27/2009 9:00,,5.5,13.2,12,10.5,7,7.8
3/27/2009 10:00,,6.1,10.6,7.3,9.2,5.7,9.4
3/27/2009 11:00,,7.3,15.3,7.3,10.9,10.6,11.5
3/27/2009 12:00,,10.6,19.1,9.5,10,8.9,12.2
3/27/2009 13:00,,10.9,11.9,12.2,7.6,7.4,10.2
3/27/2009 14:00,,6.6,9.8,5.1,9.9,8,4.4
3/27/2009 15:00,,13,15.3,3.6,11.9,7,7.7
3/27/2009 16:00,,11.6,11.4,-1.9,14.6,6.2,7.8
3/27/2009 17:00,,10.8,12.9,-0.3,14,4.8,8.9
3/27/2009 18:00,,14.6,15.6,6.3,7.9,7.7,9.7
3/27/2009 19:00,,11.2,15.2,6.9,8.5,6.9,9.2
3/27/2009 20:00,,6.1,16.7,8.3,7.1,8.2,8.2
3/27/2009 21:00,,8.7,15.6,8,10.1,11.1,7.8
3/27/2009 22:00,,4.2,19.8,11.7,11.3,14.1,7.8
3/27/2009 23:00,,5.5,19.8,7.4,9.8,11.7,6.5
3/28/2009 0:00,,8.2,17.6,6.1,11.6,12.2,6.5
3/28/2009 1:00,,7.3,22.1,6.9,10.5,11.1,8.5
3/28/2009 2:00,,6.4,19.2,6.8,10.7,6.9,9.5
3/28/2009 3:00,,2.8,11.4,8.2,5.8,9.3,8.5
3/28/2009 4:00,,11.6,11.5,8.6,9.2,9.8,6.5
3/28/2009 5:00,,2,19.4,7.7,9.5,10.3,5.7
3/28/2009 6:00,,3.1,18.6,9.4,7.9,9.6,7.1
3/28/2009 7:00,,10.7,13.6,9.6,9.4,10.5,8.1
3/28/2009 8:00,,11.4,14.1,8,9.4,12.9,10.9
3/28/2009 9:00,,11.7,15.7,6.7,9.7,11.3,8.3
3/28/2009 10:00,,6.9,12.2,6.4,10.9,7.9,7.1
3/28/2009 11:00,,-0.3,10.4,13.2,9.9,11.2,5.8
3/28/2009 12:00,,-0.5,7.5,6.1,9.1,9,2.8
3/28/2009 13:00,,4.3,8.2,5.8,9.9,8.1,5
3/28/2009 14:00,,10.3,6.5,6.8,5.4,8.4,6.5
3/28/2009 15:00,,13,9.1,6.1,11.4,8.7,4.6
3/28/2009 16:00,,5.5,8.7,13.9,11.4,5.5,6.6
3/28/2009 17:00,,,9.1,-2.3,6.4,4.7,7.4
3/28/2009 18:00,,8.2,9.3,3.7,7.9,8,7.4
3/28/2009 19:00,,8.7,10.4,4,10.7,9.4,8.1
3/28/2009 20:00,,7.1,8.2,0.1,13.1,7.8,6.6
3/28/2009 21:00,,24.3,11.7,1.7,14,7.9,7.3
3/28/2009 22:00,,38.4,12.6,7.8,14,7.6,7.1
3/28/2009 23:00,,1,10.8,5.2,11.2,7.1,5.4
3/29/2009 0:00,,,8.9,8.8,12.1,7.1,7.6
3/29/2009 1:00,,,9.8,5.1,7.7,6.5,7.6
3/29/2009 2:00,,-0.8,9.7,7.4,7.5,5.7,7.1
3/29/2009 3:00,,0.8,9.6,5.2,4.8,5.6,7.4
3/29/2009 4:00,,1.7,11.9,-0.6,2.3,7.2,7.4
3/29/2009 5:00,,0.1,10.9,1.3,9.4,9.3,6.4
3/29/2009 6:00,,7.9,11.9,6.9,5.7,11.7,10.3
3/29/2009 7:00,,29.5,3.7,24.9,10.3,7.5,19.1
3/29/2009 8:00,,13.5,9.3,61.1,19.7,6.3,8.4
3/29/2009 9:00,,1.3,8.5,7.8,14.1,3.3,5.1
3/29/2009 10:00,,0,10.4,1.8,6.1,7.8,7.5
3/29/2009 11:00,,9.6,17.1,5.1,3.4,9.3,10.5
3/29/2009 12:00,,1.2,9.5,8,0,3.6,11.7
3/29/2009 13:00,,6.5,7.6,0,-0.5,16.8,7.3
3/29/2009 14:00,,9.1,12.1,10.3,1.5,22.7,8.7
3/29/2009 15:00,,14.2,4,12.7,5.4,29.6,7.7
3/29/2009 16:00,,10.9,2.6,9.5,10.7,25.1,12.2
3/29/2009 17:00,,4,5.2,10.7,14.2,20.7,13.8
3/29/2009 18:00,,9.6,4.3,8.9,10.9,9.4,9.6
3/29/2009 19:00,,6.5,4.4,5.3,10.8,2.7,8.8
3/29/2009 20:00,,8.9,9.5,3,7.7,5,3.7
3/29/2009 21:00,,0.4,8.4,2.1,5.4,3.4,3.9
3/29/2009 22:00,,0.4,6.1,1.4,3.8,4.1,3.9
3/29/2009 23:00,,3.7,7.4,0.9,2.9,5.1,5.6
3/30/2009 0:00,,3.4,9.6,1.2,4,4.7,6.2
3/30/2009 1:00,,8.6,9.6,0,4.3,4.9,8
3/30/2009 2:00,,9.6,5.5,2.4,3.6,5.5,7.5
3/30/2009 3:00,,3.6,8.9,0.5,3.4,5,5.2
3/30/2009 4:00,,4.8,1.8,0.5,5,4.9,5.6
3/30/2009 5:00,,0.6,0.6,3.3,4.2,6.1,6.1
3/30/2009 6:00,,2.2,1.6,3.1,4.6,6.7,5.5
3/30/2009 7:00,,1.5,1.9,5,4.8,7.6,5.1
3/30/2009 8:00,,5.1,10.2,1.5,4.8,6.6,6.6
3/30/2009 9:00,,5,11.8,4.5,6.7,7.4,4.9
3/30/2009 10:00,,6.2,4.1,5,5.9,5,5.4
3/30/2009 11:00,,7,,5.4,3.1,4.5,5.5
3/30/2009 12:00,,6.7,,5.5,7,5,5.2
3/30/2009 13:00,,2.9,7.3,2.6,5.7,7,6.6
3/30/2009 14:00,,18.1,3.7,5.9,11.2,7.4,10.5
3/30/2009 15:00,,8.5,8.2,6.1,5.8,7.1,9
3/30/2009 16:00,,9.3,6.5,5.3,5.1,4.7,6.9
3/30/2009 17:00,,8.9,8.8,5.8,6.1,6.8,6.4
3/30/2009 18:00,,7.4,9.9,4.6,7.5,5.1,7.8
3/30/2009 19:00,,6,12.1,0,8.9,6.7,9.1
3/30/2009 20:00,,10.4,15.3,4.8,6.5,8.3,8.1
3/30/2009 21:00,,3.8,13,8.8,8.5,7.6,7.8
3/30/2009 22:00,,1.8,14.4,5.3,11.1,8,7.2
3/30/2009 23:00,,5.6,9.2,6.4,9.9,6.5,6.5
3/31/2009 0:00,,0.4,15.2,7,8.9,7.8,9
3/31/2009 1:00,,4.6,8.7,7.8,6.2,8.6,7.3
3/31/2009 2:00,,6.6,15.9,6.4,7.6,7.8,6.5
3/31/2009 3:00,,7.9,8,8.5,11.9,8.9,5.5
3/31/2009 4:00,,5.6,12.6,7.2,9.6,7.6,6.9
3/31/2009 5:00,,2.1,14.5,8.9,9.2,7.8,7.5
3/31/2009 6:00,,1.5,4.6,9.2,8.9,10.3,7.8
3/31/2009 7:00,,6.4,5,9.5,7.8,11.4,6.4
3/31/2009 8:00,,3.7,10.9,14.2,10.6,7.4,4.4
3/31/2009 9:00,,1.5,23.1,5.7,12.7,11.5,2.4
3/31/2009 10:00,,9,8.3,8.4,8.3,10.4,9
3/31/2009 11:00,,11.6,7.7,5.9,7.6,6.5,5.4
3/31/2009 12:00,,7.6,10.4,0,7,6.4,6.9
3/31/2009 13:00,,9.3,9.8,5.9,4.2,8.2,6.6
3/31/2009 14:00,,4.5,11.6,9.4,4.7,7,9.3
3/31/2009 15:00,,10,10,1.7,7.7,6.9,8.1
3/31/2009 16:00,,12.7,11.9,2.5,6,7.1,8
3/31/2009 17:00,,8.7,9.2,8.5,4.9,8.3,6.9
3/31/2009 18:00,,7.1,10.7,4.7,4.7,6.1,7.7
3/31/2009 19:00,,6.5,9.2,1.2,4.2,8.6,8.9
3/31/2009 20:00,,1.8,14.5,3.2,5.6,4.5,8.9
3/31/2009 21:00,,1.3,12.7,4.7,6.1,4.1,11.1
3/31/2009 22:00,,3.5,7.1,7.3,4.1,4.7,11
3/31/2009 23:00,,7.1,7.2,5.5,5.3,4.6,10.5
4/1/2009 0:00,,4.7,8.8,4,8.2,5.7,9.8
4/1/2009 1:00,,0.6,4.1,1.3,7.4,4.5,6.1
4/1/2009 2:00,,3.8,14.1,0.7,6.1,6.2,9.6
4/1/2009 3:00,,4.1,9.4,1.4,5.2,6.2,9.4
4/1/2009 4:00,,6.4,10.2,5.9,5.6,8,9.6
4/1/2009 5:00,,6.7,5.1,5.6,6.2,8.9,12.9
4/1/2009 6:00,,11.7,18.6,6.6,7.6,9.1,10.1
4/1/2009 7:00,,6.6,13.9,8.1,8.2,7.7,14.5
4/1/2009 8:00,,-3,-1.3,3.9,12.3,6.5,20.3
4/1/2009 9:00,,2.3,10.2,7.2,10.2,5.3,19.1
4/1/2009 10:00,,12.7,,8.1,8.4,2.6,16.2
4/1/2009 11:00,,5.9,8.1,3.6,6.8,5.8,14.3
4/1/2009 12:00,,-1.5,6.3,4.1,5.5,8.9,9.5
4/1/2009 13:00,,-2.6,5.2,7.5,8.5,6.6,9.9
4/1/2009 14:00,,12.5,9.9,7.4,9.4,5.2,7.3
4/1/2009 15:00,,15.2,7.8,8.2,6.5,6.2,4.6
4/1/2009 16:00,,8.6,9,6.7,8.1,4.1,5.6
4/1/2009 17:00,,2.1,8,3.4,3.9,5.5,9.2
4/1/2009 18:00,,8.9,8.5,4,4.3,6,10.9
4/1/2009 19:00,,6.6,13.5,5.8,6.5,4,9
4/1/2009 20:00,,5.1,12.6,7.7,7.4,6.2,7.3
4/1/2009 21:00,,5.9,11,9.3,8.8,7.5,5.8
4/1/2009 22:00,,6.2,14.5,7.2,7.9,6.6,8.4
4/1/2009 23:00,,4.9,9.4,4.1,4.8,8.8,7.8
