Problem Size (N),Random BST Time (ns)
0,4662.60
10000,315834870.90
20000,1301332370.80
30000,3035269437.40
40000,5325893279.10
0,24.90
0,-358.40
0,29.20
0,54.10
0,58.30
0,54.10
0,104.30
0,487.60
0,70.80
0,125.00
0,-16.80
0,41.70
0,66.70
0,29.10
0,41.70
0,50.10
