Array_Size,Threads,Elements_Per_Thread,Time_ms,Sum
100000,1,100000,0.282,5.05971e+06
200000,2,100000,0.359,1.01164e+07
400000,4,100000,0.399,2.02157e+07
800000,8,100000,0.588,4.03866e+07
1600000,16,100000,1.122,8.0812e+07
