Array_Size,Threads,Elements_Per_Thread,Time_ms,Sum
100000,1,100000,0.037,4.99278e+06
200000,2,100000,0.037,1.00209e+07
400000,4,100000,0.059,1.99983e+07
800000,8,100000,0.099,3.99826e+07
1600000,16,100000,0.27,8.00136e+07
