Array_Size,Threads,Elements_Per_Thread,Time_ms,Sum
100000,1,100000,0.335,5.0405e+06
200000,2,100000,0.362,1.01101e+07
400000,4,100000,0.464,2.02225e+07
800000,8,100000,0.944,4.04016e+07
1600000,16,100000,1.528,8.08086e+07
