Array_Size,Threads,Time_ms,Sum
100000,1,0.38,5.04764e+06
100000,2,0.256,5.04764e+06
100000,4,0.19,5.04764e+06
100000,8,0.346,5.04764e+06
100000,16,0.313,5.04764e+06
1000000,1,3.056,5.04949e+07
1000000,2,1.683,5.04949e+07
1000000,4,1.136,5.04949e+07
1000000,8,1.17,5.04949e+07
1000000,16,1.022,5.04949e+07
10000000,1,33.806,5.04937e+08
10000000,2,15.787,5.04937e+08
10000000,4,9.954,5.04937e+08
10000000,8,8.034,5.04937e+08
10000000,16,6.781,5.04937e+08
