Array_Size,Threads,Elements_Per_Thread,Time_ms,Sum
100000,1,100000,0.496,5.05087e+06
200000,2,100000,0.466,1.01251e+07
400000,4,100000,0.489,2.02235e+07
800000,8,100000,0.836,4.03337e+07
1600000,16,100000,1.335,8.07988e+07
