Array_Size,Threads,Elements_Per_Thread,Time_ms,Sum
100000,1,100000,0.018,5.0173e+06
200000,2,100000,0.022,1.00034e+07
400000,4,100000,0.039,1.99892e+07
800000,8,100000,0.116,3.99639e+07
1600000,16,100000,0.247,8.00386e+07
