Array_Size,Threads,Elements_Per_Thread,Time_ms,Sum
100000,1,100000,0.014,5.00456e+06
200000,2,100000,0.027,1.00075e+07
400000,4,100000,0.066,2.00038e+07
800000,8,100000,0.105,4.00204e+07
1600000,16,100000,0.255,7.99006e+07
