Array_Size,Threads,Time_ms,Sum
100000,1,0.605,4.99273e+06
100000,2,0.075,4.99273e+06
100000,4,0.086,4.99273e+06
100000,8,0.149,4.99273e+06
100000,16,0.365,4.99273e+06
1000000,1,0.082,4.99829e+07
1000000,2,0.119,4.99829e+07
1000000,4,0.113,4.99829e+07
1000000,8,0.202,4.99829e+07
1000000,16,0.195,4.99829e+07
10000000,1,1.09,4.9995e+08
10000000,2,0.676,4.9995e+08
10000000,4,0.641,4.9995e+08
10000000,8,0.555,4.9995e+08
10000000,16,0.597,4.9995e+08
