Array_Size,Threads,Elements_Per_Thread,Time_ms,Sum
100000,1,100000,0.308,5.03833e+06
200000,2,100000,0.322,1.01036e+07
400000,4,100000,0.49,2.02219e+07
800000,8,100000,0.758,4.03766e+07
1600000,16,100000,1.731,8.08242e+07
