Array_Size,Threads,Time_ms,Sum
100000,1,0.025,5.00522e+06
100000,2,0.038,5.00522e+06
100000,4,0.067,5.00522e+06
100000,8,0.151,5.00522e+06
100000,16,0.205,5.00522e+06
1000000,1,0.089,5.00582e+07
1000000,2,0.039,5.00582e+07
1000000,4,0.097,5.00582e+07
1000000,8,0.141,5.00582e+07
1000000,16,0.211,5.00582e+07
10000000,1,0.825,5.00106e+08
10000000,2,0.824,5.00106e+08
10000000,4,0.572,5.00106e+08
10000000,8,0.585,5.00106e+08
10000000,16,0.635,5.00106e+08
