Array_Size,Threads,Time_ms,Sum
100000,1,0.074,5.01085e+06
100000,2,0.063,5.01085e+06
100000,4,0.143,5.01085e+06
100000,8,0.204,5.01085e+06
100000,16,0.364,5.01085e+06
1000000,1,0.123,4.99879e+07
1000000,2,0.137,4.99879e+07
1000000,4,0.157,4.99879e+07
1000000,8,0.132,4.99879e+07
1000000,16,0.203,4.99879e+07
10000000,1,1.686,5.00065e+08
10000000,2,0.692,5.00065e+08
10000000,4,0.678,5.00065e+08
10000000,8,0.629,5.00065e+08
10000000,16,0.584,5.00065e+08
