Array_Size,Threads,Time_ms,Sum
100000,1,0.313,5.04837e+06
100000,2,0.344,5.04837e+06
100000,4,0.198,5.04837e+06
100000,8,0.265,5.04837e+06
100000,16,0.51,5.04837e+06
1000000,1,3.384,5.05131e+07
1000000,2,1.65,5.05131e+07
1000000,4,1.235,5.05131e+07
1000000,8,1.087,5.05131e+07
1000000,16,1.402,5.05131e+07
10000000,1,30.699,5.04939e+08
10000000,2,16.026,5.04939e+08
10000000,4,9.663,5.04939e+08
10000000,8,8.451,5.04939e+08
10000000,16,7.448,5.04939e+08
