Array_Size,Threads,Elements_Per_Thread,Time_ms,Sum
100000,1,100000,0.285,5.04925e+06
200000,2,100000,0.313,1.01021e+07
400000,4,100000,0.439,2.01889e+07
800000,8,100000,0.609,4.03971e+07
1600000,16,100000,1.041,8.07641e+07
