Array_Size,Threads,Time_ms,Sum
100000,1,0.339,5.06037e+06
100000,2,0.22,5.06037e+06
100000,4,0.22,5.06037e+06
100000,8,0.111,5.06037e+06
100000,16,0.155,5.06037e+06
1000000,1,2.805,5.04612e+07
1000000,2,1.559,5.04612e+07
1000000,4,1.076,5.04612e+07
1000000,8,0.73,5.04612e+07
1000000,16,0.886,5.04612e+07
10000000,1,28.151,5.04909e+08
10000000,2,15.099,5.04909e+08
10000000,4,8.886,5.04909e+08
10000000,8,8.427,5.04909e+08
10000000,16,7.604,5.04909e+08
