Array_Size,Threads,Time_ms,Sum
100000,1,0.321,5.04908e+06
100000,2,0.281,5.04908e+06
100000,4,0.194,5.04908e+06
100000,8,0.326,5.04908e+06
100000,16,0.311,5.04908e+06
1000000,1,2.89,5.04958e+07
1000000,2,1.498,5.04958e+07
1000000,4,0.997,5.04958e+07
1000000,8,0.829,5.04958e+07
1000000,16,0.763,5.04958e+07
10000000,1,28.353,5.04986e+08
10000000,2,15.112,5.04986e+08
10000000,4,9.273,5.04986e+08
10000000,8,7.451,5.04986e+08
10000000,16,7.534,5.04986e+08
