Problem Size (N),TreeSet ADD_ALL Time (ns)
0,2741.60
10000,1485575.00
20000,1863237.50
30000,3210670.80
40000,5134691.70
50000,5859654.10
60000,7001820.80
70000,8544366.60
80000,9239250.00
90000,10592454.20
100000,11993170.80
110000,13523666.60
120000,16477454.20
130000,18181550.00
140000,19970762.50
150000,20766391.70
160000,22901879.30
170000,22760662.40
180000,24548958.40
190000,25952629.10
200000,27755937.50
