Problem Size (N),BST ADD_ALL Time (ns)
0,5074.90
10000,1298670.90
20000,1872120.90
30000,3140816.60
40000,4406033.20
50000,5631054.30
60000,7078879.10
70000,8609316.70
80000,10758970.80
90000,12486279.20
100000,12748270.80
110000,14914825.00
120000,17777783.40
130000,16752254.10
140000,21354025.00
150000,21623270.90
160000,24684991.70
170000,27331741.60
180000,29438450.10
190000,29315887.50
200000,30461570.80
