ProblemSize,AvgTime(ns)
1024,59.25
2048,1.96
4096,2.42
8192,2.33
16384,3.75
32768,2.75
65536,1.75
131072,1.62
262144,2.04
524288,8.38
1048576,2.17
2097152,4.71
4194304,3.29
8388608,4.25
