ProblemSize,AvgTime(ns)
1024,48.21
2048,1.17
4096,1.21
8192,0.63
16384,1.63
32768,0.67
65536,0.71
131072,1.13
262144,6.04
524288,1.63
1048576,5.46
2097152,0.04
4194304,6.00
8388608,0.54
