Problem Size,Average Time (ns)
0,2491.8
10000,281741.6
20000,73758.3
30000,81545.8
40000,102008.3
50000,240491.6
60000,184325.0
70000,241712.5
80000,261733.4
90000,307137.5
100000,336937.5
110000,446829.1
120000,436983.3
130000,444325.0
140000,522579.1
150000,616162.5
160000,731612.5
170000,524304.1
180000,638441.7
190000,733324.9
200000,769191.8
